sample	STARGenomeName	R1	R2	Strandedness	old.sample.name	Experiment	cell.type	libType	Treatment	dose.nM	rep	color	ExperimentAlias
1_Fibroblast_polyA_A10_NA_1	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/A10-1.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/A10-1.R2_001.fastq.gz	U	A10-1	1	Fibroblast	polyA	A10	NA	1	#7fc97f	Single high dose fibroblast
1_Fibroblast_polyA_A10_NA_2	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/A10-2.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/A10-2.R2_001.fastq.gz	U	A10-2	1	Fibroblast	polyA	A10	NA	2	#7fc97f	Single high dose fibroblast
1_Fibroblast_polyA_A10_NA_3	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/A10-3.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/A10-3.R2_001.fastq.gz	U	A10-3	1	Fibroblast	polyA	A10	NA	3	#7fc97f	Single high dose fibroblast
1_Fibroblast_polyA_C2_NA_1	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/C2-1.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/C2-1.R2_001.fastq.gz	U	C2-1	1	Fibroblast	polyA	C2	NA	1	#beaed4	Single high dose fibroblast
1_Fibroblast_polyA_C2_NA_2	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/C2-2.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/C2-2.R2_001.fastq.gz	U	C2-2	1	Fibroblast	polyA	C2	NA	2	#beaed4	Single high dose fibroblast
1_Fibroblast_polyA_C2_NA_3	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/C2-3.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/C2-3.R2_001.fastq.gz	U	C2-3	1	Fibroblast	polyA	C2	NA	3	#beaed4	Single high dose fibroblast
1_Fibroblast_polyA_CUOME_NA_1	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/CUOME-1.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/CUOME-1.R2_001.fastq.gz	U	CUOME-1	1	Fibroblast	polyA	CUOME	NA	1	#fdc086	Single high dose fibroblast
1_Fibroblast_polyA_CUOME_NA_2	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/CUOME-2.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/CUOME-2.R2_001.fastq.gz	U	CUOME-2	1	Fibroblast	polyA	CUOME	NA	2	#fdc086	Single high dose fibroblast
1_Fibroblast_polyA_CUOME_NA_3	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/CUOME-3.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/CUOME-3.R2_001.fastq.gz	U	CUOME-3	1	Fibroblast	polyA	CUOME	NA	3	#fdc086	Single high dose fibroblast
1_Fibroblast_polyA_DMSO_NA_1	GRCh38_GencodeRelease44Comprehensive	/project2/yangili1/ku_jwang168/DMSO-1.R1_001.fastq.gz	/project2/yangili1/ku_jwang168/DMSO-1.R2_001.fastq.gz	U	DMSO-1	1	Fibroblast	polyA	DMSO	NA	1	#969696	Single high dose fibroblast
